,date of post,job title,company name,location,industry,years of experience,requirement,responsibility,job description
4176,26-Oct-21,Clinical Study Manager,Novartis Pharmaceuticals (HK) Ltd,Kwun Tong,Medical/Pharmaceutical,,,,"['Your key responsibilities:', 'Your responsibilities include, but are not limited to:', 'Trial Monitoring strategy', '•In collaboration with the Trial Monitoring key stakeholders (CSM Group Head, Regional Operations Manager (ROM), local/global medical, Trial Operations Manager (TOM), and global clinical assists in the development of local study execution plans and timeline commitments for a Country/Cluster. Participates in the development of innovative solutions for site and patient participation to ensure the delivery of assigned studies on time', 'Allocation, initiation and conduct of trials.', '•Oversees local vendor selection and performance as needed. Serves as main contact for quality/compliance issues, escalating as necessary. Ensures sites are prepared for ""Ready to Initiate Site"" (checkpoint), inclusive of written confirmation, and ensures all documentation is in place for initial and subsequent drug release in collaboration with the local Qualified Person(s)', '•Maintains a strong knowledge of the study protocol to answer standard operational questions from CRAs, sites, and internal Country/Cluster personnel. Drives the conduct of the study, (tracks status , maintains study level reporting systems, oversees forecasts, progress, and mitigation plans), to ensure all study operational aspects are on track. Ensures recruitment targets are met and reviews enrolment at the site level including responsibility for approval of enrolling above site targets. Is responsible to set up contingency plan to ensure recruitment targets are achieved in accordance with trial', 'execution plan', '•Oversees local clinical team activities to achieve study timelines and quality execution, (proposing and implementing corrective actions where appropriate), according to Novartis standards and local and international regulations. Leads/chairs local study team meetings or supports Sr. CSM in the conduct of local study team meetings, participates in global clinical trial team meetings, as required and is the single point of contact for the conduct of assigned studies or study sites', '•Maintains oversight of country level or assigned site level data management activities, including timely understanding of screen failure reasons and discontinuation rates, review of patient profiles, and proactively identifies data entry issues (on quality and timing) to mitigate queries, proactively identifies query resolution issues. Coordinates the study handover process with the CRAs and their managers to ensure proper documentation and comm unication, when necessary. Tracks that all study close-out activities are performed in a timely manner, in collaboration with CRAs and key study stakeholders', 'Delivery of quality data and compliance to quality standards', ""•Conducts or coordinates protocol specific training, as needed, for CRAs to support site readiness to recruit and study execution ensuring adherence to clinical data standards, prevailing legislation, GCP, Ethical Committee and SOP requirements. Conducts or coordinates local investigator meetings as needed. Ensures documentation of protocol specific training (global/regional/local investigator meeting minutes, participants' lists, certificates, etc.) is archived in the Trial Master File. Evaluates potential challenges/risks within the protocol and operational aspects of the study; assessing impacts, developing risk management plans and communicating/ escalating to regions and/or global teams, as appropriate"", '•Is accountable for monitoring quality and issue resolution through timely review and approval of study monitoring visit reports to ensure quality trial oversight and appropriate issue escalation/resolution. Is the escalation point for issues in monitoring visit reports (MVRs) for the assigned studies.Is responsible for evaluating trends identified in MVRs and communicating/escalating to regions and/or global teams, as appropriate. Communicates with CRAs and their managers to ensure issue resolution in a timely manner.Provides feedback about the quality of monitoring activities to CRA Managers and local QA as appropriate', '•Supports inspection readiness and submission preparation for monitoring related activities and assists and coordinates with country/cluster Trial Monitoring and Quality Assurance for internal audits organization and HA inspections, as required, and ensures implementation of corrective actions within specified timelines.Participates in multidisciplinary taskforces to support continuous improvement initiatives', 'Budget and productivity', '•Monitors the status of site budget and contract negotiations as well as the collection and review of essential documents throughout study start up under the direction of their manager. Tracks study budget with appropriate study budget responsible in Country/Cluster. Ensures timely TCF preparation and submission in collaboration with the TCF specialist in the Country/Cluster. Processes invoiceable items for site level clinical study activities to allow timely payments.', 'What you’ll bring to the role:', '•A degree in scientific or health discipline required and advanced degree with clinical trial experience and/or project management, is preferable', '•Fluent in both written and spoken English, local language as needed in clusters/countries', ""•Minimum 5 years' experience in clinical research in a role that oversees (project management) and/or with monitoring clinical trials"", '•Capable of leading in a matrix environment, without direct reports. Understanding of all aspects of clinical drug development with particular emphasis on monitoring and study execution', '•Strong project management capabilities with demonstrated ability to problem solve and mediate complex issues', '•Thorough understanding of the international aspects of drug development process, including strong knowledge of international standards (GCP/ICH), health authorities (FDA/EMEA), local/National Health Authorities regulations and Novartis standards', '•Demonstrated negotiation and conflict resolution skills both internal and external (site relationships)']"
4177,28-Oct-21,Blockchain (Cryptocurrency) Sales & Operations Manager,THK Service HK Limited,Tsim Sha Tsui,Financial Services,3 years,"[""Bachelor's degree in Computer Science, related technical field, or equivalent practical experience."", '3-5 years of experience in product management roles, or related', 'Experience in blockchain, cryptocurrency wallet, or related systems would be advantageous', 'Project management experience, in designing and implementing enterprise solutions, specifically blockchain-based apps', 'Proficiency in both written and spoken English and Chinese;', 'Familiar with structure and concept of Microservice architecture', 'Excellent interpersonal, organization and prioritization skills', 'We offer attractive remuneration packages to successful candidates:', 'Competitive monthly salary commensurate with experience;', 'Health Insurances (Both Medical &amp; Dental);', 'Five-day work;', 'Paid vacation days;', 'In-house training;', 'Unique opportunity for career and self-development.', 'If you are interested in this challenging role, we look forward to discussing this opportunity with you further.\xa0Interested parties, please submit your application by clicking the apply button.', 'Personal data collected will be used for recruitment purposes only.']","['Responsible for whole product design, user survey/ investigation, and user behavior analysis', 'Promote Blockchain technologies both internally and externally, work closely with core development team for blockchain technology discussion', 'Launch new products and features, test their performance, and iterate constantly and quickly', 'Identify opportunities within the Crypto market and propose new trading strategies and work with quant and engineers to build them.', 'Keep a close eye on cryptocurrency industry/market trends and come up with trending topics for in-depth stories and analysis', 'Responsible for leading the investment team to identify investment opportunities in the cryptocurrency and blockchain space.', 'Enhance the user satisfaction, and optimize the user experience', 'Requirements:', ""Bachelor's degree in Computer Science, related technical field, or equivalent practical experience."", '3-5 years of experience in product management roles, or related', 'Experience in blockchain, cryptocurrency wallet, or related systems would be advantageous', 'Project management experience, in designing and implementing enterprise solutions, specifically blockchain-based apps', 'Proficiency in both written and spoken English and Chinese;']","['Responsibilities:', 'Responsible for whole product design, user survey/ investigation, and user behavior analysis', 'Promote Blockchain technologies both internally and externally, work closely with core development team for blockchain technology discussion', 'Launch new products and features, test their performance, and iterate constantly and quickly', 'Identify opportunities within the Crypto market and propose new trading strategies and work with quant and engineers to build them.', 'Keep a close eye on cryptocurrency industry/market trends and come up with trending topics for in-depth stories and analysis', 'Responsible for leading the investment team to identify investment opportunities in the cryptocurrency and blockchain space.', 'Enhance the user satisfaction, and optimize the user experience', 'Requirements:', ""Bachelor's degree in Computer Science, related technical field, or equivalent practical experience."", '3-5 years of experience in product management roles, or related', 'Experience in blockchain, cryptocurrency wallet, or related systems would be advantageous']"
4178,28-Oct-21,Clerical Officer I/II in the School of Continuing and Professional Education [Ref. C/703/03],City University of Hong Kong,Wong Tai Sin Area,Education,2 years,,,"['Duties :', 'Provide clerical support for programmes offered by the School, such as handling programme enquiries and applications, time-tabling, arranging information seminars, student orientations and graduation ceremonies, processing monthly payroll for part-time staff, and perform other ad-hoc tasks as assigned by supervisors.', 'Requirements :', '5 passes in HKCEE/HKDSEE including English Language, Chinese Language, and Mathematics with at least 2 years’ relevant working experience.\xa0 Good command of written and spoken English and Chinese, and good computer skills (including MS Office, Excel and Chinese word-processing) are required.', 'Candidates with more than 6 years’ relevant experience may be considered for appointment as Clerical Officer I.', 'Shortlisted candidates will be invited for a written test.', 'Salary and Conditions of Service', 'Remuneration package will be highly competitive, commensurate with qualifications and experience.\xa0 Appointment will be made on a fixed-term contract; fringe benefits include gratuity, leave, medical and dental schemes.', 'Information and Application', 'Further information on the posts and the University is available at']"
4179,26-Oct-21,Information Security Manager - Professional MNC/Inhouse - Perm - 55-65K + Bonus,Wellesley Associates Limited,,Human Resources Management/Consultancy,,,,"['Background:', 'My client is one of the top-notch professional business MNCs in Hong Kong with extensive innovative and digital solutions offered in the market. They are now looking for an experienced Information Security Manager to join the team.', 'Job Description', 'Serve as the SME for security in multiple domains including\xa0IAM, EDR, application security, cloud, data protection.', 'Provide guidance to project teams on secure configuration of systems and services.', 'Identify risks and provide guidance regarding remediation of gaps to facilitate hardened and sustainable environments.', 'Maintain a good relationship with the business users to understand their IT needs for continuous service improvement', 'Work with various stakeholders in different teams to establish relationships in order to drive various security projects.', 'Assist IT with Security Administration maintaining a high standard of technical knowledge and certification', 'Provide support on internal audit related activities.']"
4180,27-Oct-21,(New Headcount) Account Manager / Senior Account Manager,Fresenius Medical Care Hong Kong Limited,Wan Chai,Medical/Pharmaceutical,3 years,,"['New headcount for our expanding business portfolio', 'Proactively promote chronic and acute dialysis products to hospital and dialysis centre', 'Collaborate with different departments to provide pre-sales and after-sales service to our customers and patients', 'Achieve sales targets for assigned accounts and expand our business portfolio', 'Roll up sleeves for new products and service launch', 'Establish and maintain strong relationships with our clients, partner and patients to gather timely market feedback for management review', 'Qualifications:', 'University graduate in Science subjects, Registered Nurse, or other related education', '3 years sales &amp; marketing experience. Experience in healthcare products or medical equipment, preferably with experience in hospital', 'Energetic, mature, hard working, self-motivated and independent', 'Strong communication, interpersonal &amp; presentation skills']","['Responsibilities:', 'New headcount for our expanding business portfolio', 'Proactively promote chronic and acute dialysis products to hospital and dialysis centre', 'Collaborate with different departments to provide pre-sales and after-sales service to our customers and patients', 'Achieve sales targets for assigned accounts and expand our business portfolio', 'Roll up sleeves for new products and service launch', 'Establish and maintain strong relationships with our clients, partner and patients to gather timely market feedback for management review', 'Qualifications:', 'University graduate in Science subjects, Registered Nurse, or other related education', '3 years sales &amp; marketing experience. Experience in healthcare products or medical equipment, preferably with experience in hospital']"
4181,27-Oct-21,"Assistant Vice President, Section Head, Electronic Banking",Chong Hing Bank Ltd,Kowloon Bay,Banking,6 years,"['University graduate in Business Administration, E-Commerce, Computer Science and related disciplines', ""Minimum 6 years' relevant experience in managing digital channel projects and services"", 'Good understandings of digital banking related regulatory requirements and latest trend of Mobile Banking, Internet Banking and ATM business', 'High awareness of quality assurance, risk control and security issues', 'We offer competitive remuneration package and promising career opportunities to the successful candidates. Interested parties, please send full resume with current &amp; expected salary and the date of availability to', 'The HR Division, G.P.O. Box 2535, HK', ', or by clicking Apply Now. Please quote reference on your application. Information provided will be treated in strict confidence and only be used for recruitment purposes. Personal data of unsuccessful applications will be destroyed 24 months after the completion of the recruitment and selection exercise.']","['Assist in developing strategy for Mobile Banking, Internet Banking and ATM services;', 'Define and develop service features of Mobile Banking, Internet Banking and ATM by coordinating with different departments and vendors;', 'Perform effective project management including the facilitation and coordination of different functional teams and vendors to ensure the development of products and services on digital channel platforms according to the defined plan and budget;', 'Improve the services and workflow of Mobile Banking, Internet Banking and ATM services;', 'Ensure the relevant services complying with relevant rules, regulations and ordinances;', 'Perform market analysis and provide feasible recommendations to strengthen the competitiveness of Mobile Banking, Internet Banking and ATM services;', 'Supervise teammates for Mobile Banking, Internet Banking and ATM services development, daily operations, etc.;', 'Manage project budget, project plan, user requirement, user acceptance test and logistics for service delivery and rollout; and', 'Establish processes to monitor and assure the availability of services', 'Requirements:', 'University graduate in Business Administration, E-Commerce, Computer Science and related disciplines']","['Responsibilities:', 'Assist in developing strategy for Mobile Banking, Internet Banking and ATM services;', 'Define and develop service features of Mobile Banking, Internet Banking and ATM by coordinating with different departments and vendors;', 'Perform effective project management including the facilitation and coordination of different functional teams and vendors to ensure the development of products and services on digital channel platforms according to the defined plan and budget;', 'Improve the services and workflow of Mobile Banking, Internet Banking and ATM services;', 'Ensure the relevant services complying with relevant rules, regulations and ordinances;', 'Perform market analysis and provide feasible recommendations to strengthen the competitiveness of Mobile Banking, Internet Banking and ATM services;', 'Supervise teammates for Mobile Banking, Internet Banking and ATM services development, daily operations, etc.;', 'Manage project budget, project plan, user requirement, user acceptance test and logistics for service delivery and rollout; and', 'Establish processes to monitor and assure the availability of services']"
4182,26-Oct-21,IT Project Manager,China Taiping Life Insurance (Hong Kong) Company Limited,North Point,Insurance/Pension Funding,,,,"['Responsibilities', 'Responsible for initiating project goals and directions', 'Perform user requirement gathering, feasibility planning, analytics, specification preparation and share professional suggestions with the team', 'Communicate proactively with the team to monitor on the progress and to deliver accordingly', 'Carry out internal projects', 'Review and introduce new initiatives to the business', 'Requirements', 'Degree holder in Computer Science or related disciplines', 'Minimum 6 year experience in project management, preferably in Insurance industry']"
4183,28-Oct-21,Officer (Human Resources),Hong Kong Genome Institute,Shatin Area,Medical/Pharmaceutical,2 years,"['We are seeking a high-calibre candidate for the post of\xa0Officer (Human Resources) who possesses:', 'A Bachelor’s degree in HR Management, Business Administration, or related disciplines', 'Preferably 2 years of all-round HR generalist experience gained from sizable organisations', 'Good understanding of EO and other HR-related legislations', 'Strong analytical and problem-solving skills, attention to detail and ability to integrate new knowledge into practice', 'Good organisational, communication and interpersonal skills', 'Good command of written and spoken English and Chinese', 'Proficiency in MS Office application; familiarity with advanced Excel formula and functions will be an advantage', 'Ability to work both independently and as a team player', 'Office location:', 'Hong Kong Science Park, Shatin']","['Assist in full spectrum of Human Resources (HR) functions in compliance with HKGI’s guidelines and Employment Ordinance (EO)', 'Provide support in full cycle of recruitment and selection process', 'Prepare documentation relating to employees’ life cycle and maintain accurate employee records and filing', 'Communicate with internal and external parties for day-to-day HR operation and administration', 'Assist in benefits administration and preparing HR reports and analysis', 'Reconcile HR-related payments', 'Assist in special projects, including the implementation of HR system', 'Perform any other duties assigned by senior officers', 'Requirements:', 'We are seeking a high-calibre candidate for the post of\xa0Officer (Human Resources) who possesses:', 'A Bachelor’s degree in HR Management, Business Administration, or related disciplines']","['Company Overview', 'The Hong Kong Genome Institute (HKGI) is a company limited by guarantee incorporated in May 2020 and is wholly owned by the Hong Kong Government. It is set up to coordinate and implement the Hong Kong Genome Project (HKGP).', 'The HKGP is a catalyst project to establish genome database of the local population, with a view to enhancing clinical application of genomic medicine to benefit patients and their families and promoting research in genomic\xa0medicine and related field to facilitate future medical development in Hong Kong. The HKGI will work in collaboration with Hospital Authority, universities and other stakeholders to implement the project.', 'Officer (Human Resources)', 'Reporting to the Manager (Human Resources &amp; Talent Development), the incumbent will assume the following responsibilities:', 'Key Responsibilities:', 'Assist in full spectrum of Human Resources (HR) functions in compliance with HKGI’s guidelines and Employment Ordinance (EO)', 'Provide support in full cycle of recruitment and selection process', 'Prepare documentation relating to employees’ life cycle and maintain accurate employee records and filing']"
4184,25-Oct-21,Senior Research Associate / Research Associate (Process Development),New Beta Innovation Limited,Kowloon Bay,Medical/Pharmaceutical,,,,"['The Job:', 'Assist in the execution of the new product development plan for unmet medical needs.', 'After proper training on the small/pilot scale production of protein biologics, he/she will become one of the team players for the production of biologics for various research studies.', 'Develop characterization/ QC test for the evaluation of drug molecule from science and quality perspectives.', 'Conduct literature search and report scientific findings in regular meeting.', 'Th', 'e Person:', 'PhD in Biochemistry, Biological Chemistry, Biology, Biotechnology, Chemistry, Material Science, Polymer Science or other life science fields.', 'Preferably with research background in protein science, conjugation chemistry, material science, cell culture or animal study.']"
4185,22-Oct-21,IT OFFICER,GOLDIN FINANCIAL HOLDINGS LIMITED,Kowloon Bay,Electronics/Electrical Equipment,1 year,"['Diploma holder or above in Computer Science or related discipline', 'With 1-2 years working experience in end user support or equivalent', 'Self-motivated with good problem solving and interpersonal skills', 'Good command of both spoken &amp; written English, Cantonese &amp; Mandarin', 'We offer competitive remuneration package and good career prospects to the right candidate.', 'Interested parties, please send your resume stating current &amp; expected salary and available date to Human Resources Department by mail to\xa0Goldin Real Estate Financial Holdings Limited,\xa025-27/F, Goldin Financial Global Centre, 17 Kai Cheung Road, Kowloon Bay\xa0or by email, or by fax to 2805 0626.\xa0A copy of our personal data (privacy) policy is available on request.', 'Personal data provided by applicants are collected for recruitment purposes only. It is our policy to retain the personal data of unsuccessful applicants for future recruitment purposes for a period of six (6) months. When there are vacancies in our Affiliate during that period, we may transfer your application to them for consideration of employment.']","['Provide technical support and troubleshooting on network, system, hardware and software', 'Provide helpdesk support and solutions to users', 'Perform IT equipment administration', 'Perform general procurement and daily operation support to office', 'Assist in other ad hoc matters or additional duties as assigned', 'Requirements:', 'Diploma holder or above in Computer Science or related discipline', 'With 1-2 years working experience in end user support or equivalent', 'Self-motivated with good problem solving and interpersonal skills', 'Good command of both spoken &amp; written English, Cantonese &amp; Mandarin']","['Responsibilities:', 'Provide technical support and troubleshooting on network, system, hardware and software', 'Provide helpdesk support and solutions to users', 'Perform IT equipment administration', 'Perform general procurement and daily operation support to office', 'Assist in other ad hoc matters or additional duties as assigned', 'Requirements:', 'Diploma holder or above in Computer Science or related discipline', 'With 1-2 years working experience in end user support or equivalent']"
4186,27-Oct-21,System Analyst – IT Solutions (Multiple Openings),Computer And Technologies Solutions Limited,,Information Technology,5 years,,,"['Responsibilities', 'Collect user requirements and perform analysis', 'Conduct system design, development activities and specifications writing', 'Lead team of programmers on programs design, coding and implementation;', 'Perform testing, implementing and systems supporting', 'Reporting and monitoring all the system development progress and ensuring the project deadline is met', 'Prepare technical documentation and specifications', 'Requirements', ""Bachelor's degree or above in Computer Science, Engineering""]"
4187,25-Oct-21,IT Solution Manager,Hong Kong Trade Development Council,Wan Chai,General Business Services,8 years,"['University degree holder in Computer Science, Information Technology, or related discipline', 'Minimum 8 years’ relevant IT working experience, of which at least 3 years in the capacity as a System Analyst or Project Manager role', 'Experience in designing and implementing Digital Platform, B2B Online Platform, Mobile Application, business process/ workflow solutions, and large-scale API and data integration projects', 'Working knowledge of the Agile methodology', 'Excellent communication skills in both written and verbal English and Chinese, proficient to lead and conduct presentations and discussions in English and Cantonese', 'Certification in standards and methodologies e.g. PMP would be a plus', 'Strong business acumen, problem solving, conflict resolution ability', 'Good Interpersonal skill and good analytical skill', 'Self-motivated and able to work independently', 'Remuneration and Benefits:', 'The successful candidate will be appointed on a two-year renewable contract basis. Salary will be commensurate with qualifications and experience. A competitive remuneration and benefits package, including contract-end gratuity, annual leave, medical and dental benefits, will be offered.']","['As a primary point of contact on IT solution for Council’s digital services and business solution projects', 'As a business architect to bridge the gap and balance between business and technology', 'Evaluate different vendors’ solutions and determine the scalable products for various projects', 'Take lead on integration design with different stakeholders including in-house business / IT teams and vendors', 'Maintain the overall solution roadmap for Council’s digital platform', 'Manage stakeholders to define and prioritize functional requirements achieving business goals', 'Manage vendors in system implementation projects and maintain applications upon implementation', 'Continuous and iterative quality assurance and review on implemented solutions', 'Identify opportunities for process improvements', 'Requirements:', 'University degree holder in Computer Science, Information Technology, or related discipline']","['Responsibilities:', 'As a primary point of contact on IT solution for Council’s digital services and business solution projects', 'As a business architect to bridge the gap and balance between business and technology', 'Evaluate different vendors’ solutions and determine the scalable products for various projects', 'Take lead on integration design with different stakeholders including in-house business / IT teams and vendors', 'Maintain the overall solution roadmap for Council’s digital platform', 'Manage stakeholders to define and prioritize functional requirements achieving business goals', 'Manage vendors in system implementation projects and maintain applications upon implementation', 'Continuous and iterative quality assurance and review on implemented solutions', 'Identify opportunities for process improvements']"
4188,28-Oct-21,Information Technology Officer I/ II in the Campus Development Office [Ref. A/552/03],City University of Hong Kong,Wong Tai Sin Area,Education,7 years,,,"['Duties', 'The appointee is responsible for providing IT support to the Office, and system development to advance facilities management for new and existing buildings. \xa0Main duties include to:', 'Develop system programmes to advance facilities management and building management;', 'Provide IT support to the sizable Office, including but not limited to procurement of computer hardware and software, copiers, printers, IP cameras, IP phones, mobile phones, fax devices, email accounts, AV equipment, tele- and video-conference;', 'Assist in office move and set up PC and its accessories for new staff;', 'Manage CDO SharePoint (Intranet) and review the structure regularly;', 'Record the status, location and information of all fixed assets of the Office, including licences of software for the completion of annual fixed asset audit;', 'Liaise and coordinate with the University’s Central IT to connect the Office’s equipment to the University’s network; and', 'Perform any other duties as assigned.', 'Requirements']"
4189,25-Oct-21,Product Technologist – Health Products,DFI Retail Group DFI零售集團,Quarry Bay,Wholesale / Retail,3 years,,,"['This position is responsible for implementing all scope of Technical functions according Group Own Brand Technical policies and procedures; Regulatory compliance review for all Own Brand products to ensure all Own Brand products consistently deliver quality, safety and legality to meet specification, labeling requirement and customers’ expectations.', 'The Job', 'Effectively implement the Standard Operating Procedures that deliver the technical processes to meet Group Own Brand standards', 'Approve new products and ensure that all products consistently deliver quality, safety and legality to meet specification, labelling requirement and customers’ expectations', 'Handle local product registration/notification process for private label products with regulatory authorities', 'Manage customer complaints/feedbacks and proactively provide all technical information/action plan to relevant business parties', 'Manage new products to be tested in accordance with agreed test parameters/protocol', 'Follow up routine test and distribute the test result to Product Development manager and Business units', 'Support in-country Product Development team to select and approve new factory', 'Follow up improvement action plan subject to 3rd party factory audit result etc.', 'Upskill and manage suppliers’ performance by regular factory visit and 3rd party routine factory audit', 'The Person', 'Bachelor degree holder in Chemistry, Pharmaceutical Science, Chemistry Science, Biomedical Science, Food Science or related disciplines', 'Minimum of 3 years’ experience in health products quality management, experience in retail industry is preferred', 'Proficient knowledge of Health products (Health Supplement / OTC / Medical Devices / Traditional Chinese Medicine/ Health food) related manufacturing or product development', 'Familiar with HK regulation for Health Supplement / OTC / Medical Devices / Traditional Chinese Medicine/ Health food regulatory requirement and registration procedures']"
4190,18-Oct-21,R&D Engineer,Compass Technology Co Ltd,Shatin Area,Electronics/Electrical Equipment,2 years,"['Bachelor Degree in Electronic, Industrial, Mechanical, Materials, Chemical or related Engineering/Science discipline', 'At least 2 years relevant working experience in manufacturing industry, preferably in electronics or semiconductor industry', 'Good written and spoken English and Chinese', 'Well-versed in MS office application and knowledge in AutoCAD', 'Good analytical, communication and problem solving skill', 'Fresh graduate will also be considered as Assistant Engineer', 'Duties &amp; Responsibilities:', 'To conduct the R&amp;D project which is sponsored by the Enterprise Support Scheme (ESS) of\xa0Innovation Technology Council', 'To assist the development of the full additive process (FAP) for portable electronic device']","['To conduct the R&amp;D project which is sponsored by the Enterprise Support Scheme (ESS) of\xa0Innovation Technology Council', 'To assist the development of the full additive process (FAP) for portable electronic device', 'To coordinate the project with different parties at different stage of development', 'To perform the failure or reliability test on the new chemistry and materials', '5.5 working days per week with alternative Saturday off', 'Interested parties please send your resume with Expected Salary to our company email or via fax at', '2636 4343', '.', '(The resume without expected salary will not be considered.)']","['Requirements:', 'Bachelor Degree in Electronic, Industrial, Mechanical, Materials, Chemical or related Engineering/Science discipline', 'At least 2 years relevant working experience in manufacturing industry, preferably in electronics or semiconductor industry', 'Good written and spoken English and Chinese', 'Well-versed in MS office application and knowledge in AutoCAD', 'Good analytical, communication and problem solving skill', 'Fresh graduate will also be considered as Assistant Engineer', 'Duties &amp; Responsibilities:']"
4191,19-Oct-21,Product Specialist – Vascular Intervention (VI),Biotronik Hong Kong Limited,Sheung Wan,Medical/Pharmaceutical,4 years,"['University graduate in\xa0Life-science,\xa0Healthcare preferred or related discipline', ""4-5\xa0years' relevant sales experience, preferably in Healthcare industry"", 'Good time management and documentation skills', 'Strong communication and interpersonal skills', 'Fluent in Cantonese and English', 'Aggressive, willing to work overtime and under pressure', 'We offer attractive remuneration package and good career prospects. Please send your application and detailed resume in English stating present and expected salary by clicking ""Apply Now""', '(Personal data collected will be used for recruitment purpose only)']","['Positions are available for\xa0promoting the complete line of products to medical professionals, including government and private sectors.', 'Achieve sales revenue and market share target for assigned products by promoting, selling, and servicing products in assigned territory', 'Drive sales by identifying, creating and managing business relationships with selected groups or accounts', 'Service existing and new customers by providing technical support during surgery and follow-ups', 'Provide product demonstrations and training for current and potential clients', 'Implement product marketing activities and customer services', 'Job Requirements:', 'University graduate in\xa0Life-science,\xa0Healthcare preferred or related discipline', ""4-5\xa0years' relevant sales experience, preferably in Healthcare industry"", 'Good time management and documentation skills']","['We are seeking dynamic, professional to join our sales team:', 'Job Responsibilities:', 'Positions are available for\xa0promoting the complete line of products to medical professionals, including government and private sectors.', 'Achieve sales revenue and market share target for assigned products by promoting, selling, and servicing products in assigned territory', 'Drive sales by identifying, creating and managing business relationships with selected groups or accounts', 'Service existing and new customers by providing technical support during surgery and follow-ups', 'Provide product demonstrations and training for current and potential clients', 'Implement product marketing activities and customer services', 'Job Requirements:', 'University graduate in\xa0Life-science,\xa0Healthcare preferred or related discipline']"
4192,27-Oct-21,Developer (Fresh graduated is also welcome) (Ref:JDB/EPM/DV),Computer And Technologies Software Limited,Pok Fu Lam,Information Technology,,"['Degree / Higher Diploma holder in IT and related disciplines', 'High Diploma or above, in Computer Science related field', 'Solid Programming experience, preferably in .net or java', 'Experience in MSSQL is a plus', 'At least 2\xa0years working experience in\xa0application development preferable in sizable project;', 'Less experience will be considered as Junior Developer', 'Fresh graduated is also welcome', 'As a caring company, staff development is one of our top priorities. We offer attractive remuneration packages with a wide range of fringe benefits include medical &amp; dental insurance, education allowance, performance bonus and excellent career prospect to the right candidate. We also offer on-the-job training and specialized training programme to uplift the potential of our staff.', 'Interested parties please send your detailed resume', 'with current and expected salary', 'by email to:\xa0[via APPLY NOW]', 'or by mail to ""Human Resources Department, Computer And Technologies Software Limited, Level 10, Cyberport 2, 100 Cyberport Road, Hong Kong"". Please quote the employer reference number in the application.']",,"['Responsibilities', 'To provide support for bespoke developed application systems, developing reliable solutions\xa0for incidents and problems and identifying improvements', 'To undertake changes adhering to the IT Change and Release policy, maintaining version control for development activity', 'Requirements:', 'Degree / Higher Diploma holder in IT and related disciplines', 'High Diploma or above, in Computer Science related field', 'Solid Programming experience, preferably in .net or java', 'Experience in MSSQL is a plus', 'At least 2\xa0years working experience in\xa0application development preferable in sizable project;']"
4193,26-Oct-21,IT Support Engineer,eft Payments (Asia) Limited,Kwai Fong,Financial Services,1 year,"['Diploma or above in Information Technology, Computer Science or related disciplines', '1-2 years solid experience in users or technical support', 'Good team player, self-motivated and can work independently', 'Good analytical, conceptual and communication skills', 'Good command in spoken and written English and Chinese', 'We offer 5-day work, good career prospects and\xa0attractive remuneration package\xa0to the right candidates.\xa0\xa0Interested parties, please apply with full resume, present and expected salary, by clicking “APPLY NOW”.', 'Information provided will be treated in strict confidence and only be used for consideration of your application for recruitment purpose only. Personal data provided by job applicants will be used strictly according to our Personal Information Collection Statement, a copy of which will be available upon written request. Information of unsuccessful candidates will be destroyed within 12 months.']","['Provide direct technical support to end-users for payment services integration', 'Handle end-users inquiries and assist to solve payment services related technical problems', 'Perform system testing, problem analysis and training to other technical support personnel', 'Assist in preparing technical documents and training material', 'Job Requirements:', 'Diploma or above in Information Technology, Computer Science or related disciplines', '1-2 years solid experience in users or technical support', 'Good team player, self-motivated and can work independently', 'Good analytical, conceptual and communication skills', 'Good command in spoken and written English and Chinese']","['Job Responsibilities:', 'Provide direct technical support to end-users for payment services integration', 'Handle end-users inquiries and assist to solve payment services related technical problems', 'Perform system testing, problem analysis and training to other technical support personnel', 'Assist in preparing technical documents and training material', 'Job Requirements:', 'Diploma or above in Information Technology, Computer Science or related disciplines', '1-2 years solid experience in users or technical support', 'Good team player, self-motivated and can work independently', 'Good analytical, conceptual and communication skills']"
4194,20-Oct-21,System Analyst  (Software Products) (Ref:JDB/EPM/SA),Computer And Technologies Software Limited,Pok Fu Lam,Information Technology,5 years,"['Degree or above in Computer Science or related disciplines', '5 years or above experience in system design and application development', 'Strong technical skills in .NET/JAVA, and Microsoft SQL', 'Less experience will be considered as Senior Analyst Programmer', 'Benefits:', 'Annual Leave 12-18 days', 'Birthday Leave', 'Marriage Leave', 'Compassionate Leave', 'Full Paid Paternity Leave', 'Maternity Leave']","['Responsible for designing and implementation of web applications', 'To participate in the system development life cycle of enterprise level system development project(s)', 'Lead development team with junior developers', 'Requirements:', 'Degree or above in Computer Science or related disciplines', '5 years or above experience in system design and application development', 'Strong technical skills in .NET/JAVA, and Microsoft SQL', 'Less experience will be considered as Senior Analyst Programmer', 'Benefits:', 'Annual Leave 12-18 days']","['Responsibilities:', 'Responsible for designing and implementation of web applications', 'To participate in the system development life cycle of enterprise level system development project(s)', 'Lead development team with junior developers', 'Requirements:', 'Degree or above in Computer Science or related disciplines', '5 years or above experience in system design and application development', 'Strong technical skills in .NET/JAVA, and Microsoft SQL', 'Less experience will be considered as Senior Analyst Programmer']"
