,date of post,job title,company name,location,industry,years of experience,requirement,responsibility,job description
1582,26-Oct-21,Ecommerce Lead - Startup / 35k,Ambition,,Human Resources Management/Consultancy,,,,"['Venture backed and well-funded startup', 'Well experienced entrepreneurial founder', 'Opportunity to be the founding members', 'My client is a well-funded', 'ecommerce startup', 'looking to redefine the industry. Looking to establish their ecommerce presence across one of the key market place -', 'Amazon', ', they are now in search of an', 'Ecommerce Lead', '.', ""You will be taking full ownership of the company's ecommerce business from brand growth to P&amp;L. You will be managing the day to day operation, market analysis and brand building. As an Ecommerce Lead, your responsibilities will include:"", 'Taking', ""full ownership of the brand's P&amp;L"", ', market share and performance across the Amazon market place', 'Developing', 'sales &amp; marketing strategies', ""to maximize brand's performances"", 'Managing the day to day operations including', 'product launch, promotion, supply chain, and inventory management', ""Maintaining market place's competitiveness through"", 'analysis']"
1583,28-Oct-21,Senior System Analyst / System Analyst - Application Support (Contract),Hong Kong Baptist Hospital,Kowloon City,Health &amp; Beauty Care,10 years,"['Degree in Computer Science, Information Technology or equivalent', 'Minimum 10 years of application support or development experience, with at least 5 years as a team lead or supervisor', 'Both business skills and IT knowledges', 'Ability to manage multiple high-level tasks under pressure', 'Solid experience on IT services management', 'Hands-on experience in database administration or Java programming would be an advantage', 'Domain knowledge of laboratory operations or related development experience would be a plus', 'Excellent interpersonal and communication skills with good analytic and problem solving capacity', 'Demonstrate self-initiative and team leadership', 'Good command of written and spoken Chinese &amp; English', 'Candidate with less experience will be considered as System Analyst']","['Lead a support team on managing the daily operation of the Hospital mission critical clinical systems and providing resolutions of application and system issues', 'Liaise with service vendors and solution providers', 'Act as a leader for incident and event management and root cause analysis', 'Participate in new IT services design &amp; development, services transition, change &amp; release management and service daily operation', 'Conduct quality assurance review and acceptance testing prior to production release', 'Deliver regular customized training to users', 'Develop documentation and regular reports for departments within Hospital', 'Non office hours support as necessary', 'Requirements:', 'Degree in Computer Science, Information Technology or equivalent']","['Key Duties and Responsibilities:', 'Lead a support team on managing the daily operation of the Hospital mission critical clinical systems and providing resolutions of application and system issues', 'Liaise with service vendors and solution providers', 'Act as a leader for incident and event management and root cause analysis', 'Participate in new IT services design &amp; development, services transition, change &amp; release management and service daily operation', 'Conduct quality assurance review and acceptance testing prior to production release', 'Deliver regular customized training to users', 'Develop documentation and regular reports for departments within Hospital', 'Non office hours support as necessary']"
1584,19-Oct-21,"Senior Business Analyst (BI, Project Management, up to $42K)",CL Technical Services Ltd.,Southern Area,Information Technology,,,,"['Job', 'details', ':', 'Consult with business clients to collect user requirements and determine system functional specifications to meet organizational objectives', 'Foster collaboration, establish strong working relationships with different business partners', 'Support projects through different project stages, including development, quality assurance, user acceptance testing and production implementation', 'Involve in a long-term BI project and perform data analyses, extraction and generate reports using different data visualization, reporting and analytical tools', 'Develop and support ELT processes and automation procedures', 'Design and develop analytics tools and platforms to analyze data such as data collection, cleansing and curation of data from various sources', 'Develop and implement data collection system and other strategies to ensure high quality of outcomes', 'Requirements', ':', 'Degree holder in Computer Science / Data Science related disciplines', ""5 years' relevant working experience in Business Analysis or Business Intelligence (BI)"", 'Experience with BI tool suits, such as Qliksense, Tableau, and Power BI etc.', 'Proficiency in SQL is an asset']"
1585,11-Oct-21,Business Analyst,Klook Travel Technology Limited,Central,Information Technology,1 year,,,"['About Analytics', 'We unlock the power of data to help teams at Klook drive business impact and make the best decisions. Working with teams across the company, we ensure Klook is solving problems with appropriate and accurate data.', ""What you'll do"", 'Strategize and work with tech team on data collection to enable business decisions, such as operations optimization and product mix strategies', 'Analyze business data regularly to identify business opportunities and operational improvement opportunities', 'Conduct in-depth analytical studies combining external research data and internal business analytics to facilitate senior management decisions', 'Collaborate with tech and business lines to automate operational processes based on business analysis insights such as inventory management, service level monitoring etc.', 'Design comprehensive and user friendly dashboard for business line teams', ""What you'll need"", ""At least 1-3 years of experience in business analysis with a Bachelor's degree in Mathematics, Statistics, Computer Science, Business or Economics""]"
1586,28-Oct-21,Crypto / Blockchain Relationship Manager,森龍科技有限公司,Kwun Tong,Information Technology,,,,"['Job Responsibilities', 'Achieve various individual business targets and contribute to the performance of the team', 'Offer financial solutions of Crypto or Blockchain to clients', 'Build a good relationship with existing customers', 'Bring in own AUM / client relationships and acquire new client', 'Work closely with Crypto or Blockchain specialist to translate business opportunities to existing and new target customers', 'Job Requirements', 'Tertiary education or above', 'Sales-oriented with proven sales record and performance', 'Good client network', 'Familiar with Crypto / Blockchain products']"
1587,25-Oct-21,Application Developer / Programmer,Macroview Telecom Limited,Quarry Bay,Information Technology,,"['Higher Diploma or Degree in Computer Science or related disciplines', 'Hands-on experience in Microsoft C#.Net, MySQL, ReactJS - Familiar with HTML5, CSS3, JavaScript, REST API, .Net Core, Linux', 'Knowledge in Mobile Apps development and tools (e.g. React Native) or Responsive UI design will be an advantage', 'Good team player with good communication skills', 'Proactive, hard-working and self-motivated', 'Fresh graduates are also welcome']",,"['Descriptions:', 'Assist in the overall software development life cycle of IT systems', 'Implement systems and conduct testing', 'Software and technology evaluation', 'Requirements:', 'Higher Diploma or Degree in Computer Science or related disciplines', 'Hands-on experience in Microsoft C#.Net, MySQL, ReactJS - Familiar with HTML5, CSS3, JavaScript, REST API, .Net Core, Linux', 'Knowledge in Mobile Apps development and tools (e.g. React Native) or Responsive UI design will be an advantage', 'Good team player with good communication skills']"
1588,21-Oct-21,"Senior Business Analyst, Project Delivery - (2100027378)",Standard Chartered Bank (Hong Kong) Ltd,,Financial Services,,,,"['About Standard Chartered', 'We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East.', ""To us, good performance is about much more than turning a profit.\xa0 It's about showing how you embody our valued behaviours - do the right thing, better together and never settle - as well as our brand promise, Here for good."", ""We're committed to promoting equality in the workplace and creating an inclusive and flexible culture - one where everyone can realise their full potential and make a positive contribution to our organisation. This in turn helps us to provide better support to our broad client base."", 'The Role Responsibilities', 'Assist Project Manager/ Product Owner to deliver project on schedule and within budget.', 'Co-ordinate and participate in the implementation of new business initiatives that have system development / enhancement needs', 'Support Business to drive project delivery at every stage of the system development life cycle.', 'Follow the latest project management framework, system implementation governance and change management models']"
1589,28-Oct-21,Lead Solutions Consultant - Opentext ECM,Open Text (Hong Kong) Limited,Wan Chai Area,Information Technology,,,,"['Job Description', 'Conceptualize, design and implement enterprise wide system architectures for ECM deployments, lead architecture sizing and scaling activities, as well as install and configure the solution.', 'Serves as a leading authority on architecting the proper enterprise architecture to sustain large volumes of content from multiple sources, such as SAP data, email, documents, and images.', 'Understands Customer requirements and advises Customer on solution options.', 'Applies expertise and mentoring to Customer during the installation and configuration of the software.\xa0 Applies expert business skills and consulting methodologies to collect and analyze data.', 'Displays a broad knowledge of all service offerings within Open Text, working with other team members to grow and extend knowledge as the product offering extends in features and settings.', 'Has acted as a team lead on multiple projects longer than 6 months', 'Is capable of working alone on a project or as part of a partner blended team as demonstrated by doing so on a project for at least one month', 'Ensure the appropriate level of quality is applied throughout the project.']"
1590,22-Oct-21,Post-doctoral Fellows / Research Associate (5 posts of program 3),CENTRE FOR ADVANCES IN RELIABILITY AND SAFETY LIMITED,Shatin Area,Engineering - Electrical/Electronic/Mechanical,,,,"['Postdoctoral Fellow', '[Appointment period: each for thirty-six months]', 'Duties (Ref: R11/P3.3)', 'The appointees will assist the project leader and programme manager in the research project - “', 'Forecasting maintenance', '”. The project will develop AI-based prognostic techniques to assess the extent of degradation from normal condition and enable the condition monitoring and predictive maintenance actions for electrical systems/devices such as motors.', 'He/She will be required to:', '(a) conduct AI research to address industrial reliability and safety issue of product, process and system.', '(b) develop innovative methodology based on sensors, machine/deep learning models for industrial application.', '(c) work with team of researchers to conduct research, experiment and report/paper publications.', '(d) perform any other duties as assigned by the Centre Director or his delegates.']"
1591,21-Oct-21,Business Analytics Manager,Swire Resources Ltd,Kowloon Bay,Wholesale / Retail,8 years,,,"['Lead a team of data analysts to collect and analyze data, translate data into actionable business insights and implement analytics solutions to improve business and performance. The role applies own extensive knowledge in data science and provides valuable and critical input to drive and improve processes in Company business function units like Merchandizing / Marketing / Operation team or internal support function units like HR, Logistics or IT. The role should be able to communicate the math and statistics terms in an understandable way to business user and to facilitate the adaption to the data analytics solution.', 'Responsibilities', 'Understand business objectives and develop strategies for effective data analysis, reporting and implement effective analytics solution for various business functions of the Company', 'Solicit relevant customer data sources, derive business insights from dynamic analysis and transform into business applications on CRM and topics initiated from different business units', 'Identify and propose best practices in advanced data analytics, predictive modelling, campaign management, CRM and related process', 'Prepare presentations and communicate the implications of mathematics results to business users', 'Project management on data analytics projects, will include liaise with business users and IT team on needed resources', 'Lead the team to provide constructive insights and market intelligence leveraged on big data and generated from data analytical tools to identify opportunities to drive business results', 'Keep abreast of industry news and trends, continue to learn and innovate']"
1592,29-Oct-21,Technical Service  Specialist (Engineer),Abbott Laboratories Ltd.,Eastern Area,Medical/Pharmaceutical,,"['University’s Degree in Electronic / Electrical Engineering or equivalent', 'At least 2 years of relevant experience is preferred', 'Knowledge of medical laboratory science is preferred', 'Fluent in Cantonese and English. Knowledge of Mandarin is preferred', 'Computer knowledge, basic programming skills is preferred', 'Holder of Grade A Electric Work Certificate is preferred', 'Interested parties, please send your profile with present and\xa0expected salary to us by clicking the', 'Apply Now', 'button.', 'Personal data collected will be used for recruitment purposes only.']",,"['This position is\xa0responsible for\xa0carrying out instrument installation, upgrade, corrective and preventive maintenance in the field and responsible for reagent application and related troubleshooting for our Core Diagnostics products.', 'The position is also required to deliver customer training on the usage of relevant instruments and provide telephone support to the customers.', 'Requirements:', 'University’s Degree in Electronic / Electrical Engineering or equivalent', 'At least 2 years of relevant experience is preferred', 'Knowledge of medical laboratory science is preferred', 'Fluent in Cantonese and English. Knowledge of Mandarin is preferred', 'Computer knowledge, basic programming skills is preferred', 'Holder of Grade A Electric Work Certificate is preferred', 'Interested parties, please send your profile with present and\xa0expected salary to us by clicking the']"
1593,25-Oct-21,Domestic Program Officer - Fixed Term Contract,Save the Children Hong Kong Limited,Sai Wan,Charity/Social Services/Non-Profit Organisation,3 years,,,"['KEY AREAS OF ACCOUNTABILITY:', '1) Project management', 'Develop, plan, and execute parenting and mental health programme activities or events and dissemination works, including producing publication materials, organizing workshops, program enrollment, venue set-up and client management', 'Coordinate and liaise with related external parties including programme facilitators, schools, community groups, corporates and other key stakeholders', 'Collect activity data, monitor progress against both programmatic and budgetary targets and support conduct of evaluations to ensure programme improvement and quality', 'Provide input for development of domestic program strategy and project monitoring and evaluation tools and process', 'Support on a variety of other projects or activities as requested, including but not limited to Save the Children Hong Kong direct service programmes and new initiatives', '2) Administration support', 'Support in coordinating maintenance of centre facilities and equipment', 'Receive and direct visitors and clients']"
1594,21-Oct-21,Business Operations Analyst (Reporting),Arrow Asia Pac Ltd,Shatin Area,Information Technology,2 years,,,"['What You’ll Be Doing', 'Work with the Product Marketing Directors to perform market analysis', 'Work as a business analyst to conduct product intelligent data on business products in the specific business sectors', 'Manage, negotiate, and liaise with business partners to ensure quality and timeliness of deliverables', 'keeping track of local market and the technology trend', 'performing market analysis', 'Manage ad hoc or customized market research projects', 'Manage to communicate with different levels internally and preparing supplier reports', 'What We Are Looking For', ""Bachelor's Degree Holder"", '2 years of reporting experience', 'Polished in Excel (Pivot Table) and PowerPoint experience is a must', 'Power BI experience is a plus', 'Passionate and Motivated', ""What's In It For You""]"
1595,24-Oct-21,Snr Presales/ Presales Consultant (Security/ Network Infra/ IP Network/ Cloud),Premier Aegis Recruitment,,Human Resources Management/Consultancy,5 years,"['Bachelor’s Degree in Computer Science, Business or other related fields.', 'Around 3-5 years pre-sales experience in network services provider, SI or Vendors', 'More experience would be considered as Senior Consultant', 'Solid technical hand-on experience in Security/ networking/ network infrastructure/ Cloud or Data Center Professionals', 'Any of related technical certification holder would be an added advantages', 'Interested parties please click ""APPLY NOW"", or send full resume with expected salary', 'to', '[email\xa0protected]', 'com', 'All applications and data collected will be treated in strict confidence and used exclusively for recruitment purposes only']","['Identify, understand and define customer needs, objectives and business requirements.', 'Work with the sales representative to design the IP network/ Network Infrastructure/ Cloud Virtualization/ Security solutions to clients included switches, routers, security gateway, Storage, Server, application systems, Data Center solutions etc.', 'Align with internal parties for', 'technical materials including sales presentations, proposals, demonstrations and tender bidding', 'Requirements:', 'Bachelor’s Degree in Computer Science, Business or other related fields.', 'Around 3-5 years pre-sales experience in network services provider, SI or Vendors', 'More experience would be considered as Senior Consultant', 'Solid technical hand-on experience in Security/ networking/ network infrastructure/ Cloud or Data Center Professionals', 'Any of related technical certification holder would be an added advantages', 'Interested parties please click ""APPLY NOW"", or send full resume with expected salary']","[""Our clients, including World's leading ICT Solutions Vendors, System Integrators, Network Operators and Telecom Carriers are looking for various technical talents to join their team. If you are looking for a career move, please apply on this job advert and our consultants would contact you for a discussion"", 'Responsibilities:', 'Identify, understand and define customer needs, objectives and business requirements.', 'Work with the sales representative to design the IP network/ Network Infrastructure/ Cloud Virtualization/ Security solutions to clients included switches, routers, security gateway, Storage, Server, application systems, Data Center solutions etc.', 'Align with internal parties for', 'technical materials including sales presentations, proposals, demonstrations and tender bidding', 'Requirements:', 'Bachelor’s Degree in Computer Science, Business or other related fields.', 'Around 3-5 years pre-sales experience in network services provider, SI or Vendors', 'More experience would be considered as Senior Consultant', 'Solid technical hand-on experience in Security/ networking/ network infrastructure/ Cloud or Data Center Professionals']"
1596,28-Oct-21,Technical Manager (Mobile Development),Viu,Kowloon Bay,Telecommunication,8 years,,,"['Your New Role', 'You will have the opportunities to manage various projects and work closely with the team to facilitates new initiatives.', 'Participate in mobile application development/enhancement projects', 'Lead to gather requirements, process analysis, design and development throughout the project cycle', 'Work as a front-end architect and define mobile application solutions', 'Guide developers on development and troubleshooting on the setup, configuration and development of mobile application solutions', 'Perform code review, contribute to architectural decision-making', 'Work with business, UXUI, data, and other development teams on system integration', 'Work with QA team to facilitate testing', 'Work with testing automation team to streamline the CI/CD process', 'What makes you succeed']"
1597,25-Oct-21,Japanese Speaking Senior Consultant - Application Development - Bank,PERSOLKELLY Hong Kong Limited,,Human Resources Management/Consultancy,,,,"['About the Team', 'You will join New IT team to', 'provide solutions to digitally transform current applications and systems', 'Role requirements', 'Perform App development and data analysis for the East Asia regions;', 'Maintenance of previously developed apps;', 'Support to headquarters-led projects in East Asia regions;', 'Assist information sharing between headquarters and overseas desks;', 'Handle documentation of the developed app.', 'Requirement:']"
1598,27-Oct-21,Project Executive,KanHan Technologies Ltd,Sheung Wan,Information Technology,2 years,,,"['You will:', 'Involve in the overall project management stages covering the entire development life-cycle', ';', 'Propose and develop creative ideas that resonate with target audience for different campaigns;', 'Evaluate and identity potential risk for each project;', 'Manage day-to-day project activities and meetings;', 'Prepare project documents to clients', 'Work close with project team and internal teams/external vendors', 'Be motivated to take challenges and master multiple tasks in account servicing and project management in a timely and professional manner']"
1599,20-Oct-21,"Business Analyst (BI, Project Management, $35-40K)",CL Technical Services Ltd.,Admiralty,Information Technology,5 years,,,"['Job', 'details', ':', 'Determine operational objectives by studying business functions, gathering information, evaluating requirements for software solutions', 'Work with the business leaders and users, including write functional specifications, plan and manage processes, operations and systems', 'Develop test strategy and test cases and execute acceptance test plans', 'Involve in a long-term BI project and perform data analyses, extraction and generate reports using different data visualization, reporting and analytical tools', 'Develop and support ELT processes and automation procedures', 'Design and develop analytics tools and platforms to analyze data such as data collection, cleansing and curation of data from various sources', 'Manage vendors by building good vendor relationship', 'Requirements', ':', 'Degree holder in Computer Science / Data Science related disciplines', ""5 years' relevant working experience in Business Analysis or Business Intelligence (BI)"", 'Experience with BI tool suits, such as Qliksense, Tableau, and Power BI etc.', 'Proficiency in SQL is an asset']"
1600,22-Oct-21,Quantitative Analyst,Rhee Capital Limited,Kwun Tong,Financial Services,,,,"['Duties:', 'We are looking for candidates to help us collect and/or analyze financial data using quantitative methods.', 'Candidates will be involved in the following areas of work depending on his/her interest/background:', '- employing statistical techniques to backtest trading strategies using SAS/SQL', '- scrapping and/or collecting financial data using python libraries from different sources', '- update and improve on certain trading algorithms (written in python) which the firm uses', '- assist in managing the financial datasets of the firm', '- assist in implementing different trading strategies', 'Qualifications:', 'Proficient or willingness to learn Python and/or SAS/SQL. Degree holder in quantitative discipline a plus.', 'Salary is commensurate with quantitative skills and experience.']"
1601,21-Oct-21,"Business Analyst, HKT Financial Services",HKT Financial Services,Quarry Bay,Telecommunication,1 year,,,"['Your role', 'Communicate with various lines of business within HKT as well as external business partners to define system requirement and user journey', 'Coordinate with internal IT, external vendors and Card Schemes to define business processes, product features and functions', 'Implement enhancement to fulfill Card Schemes’ compliances requirements', 'Coordinate different parties to troubleshoot production issues related to the Card Schemes’ and Host System', 'Lead product setup activities including business requirement gathering and documentation, test plan design, user acceptance and post implementation testing execution, business process and ongoing support mechanism arrangement, user training, etc.', 'Generate reports and conduct analysis based on business data and results, and provide potential improvement actions and plans', 'Reach out to business partners to understand business initiatives to prioritize the project tasks based on cost &amp; benefit considerations', 'Perform ad-hoc assignments', 'To succeed in this role', 'Degree in Computer Science, Information Technology or related discipline', 'At least 3 years of experience in financial services, with 1-2 years of experience in payment card industry', 'Experience in Fiserv VisionPlus is definitely an advantage', 'Know-how in business requirement collection, process review, data analysis and end user training', 'Good communication and interpersonal skill, presentation skills, ability to present required information']"
1602,22-Oct-21,IT Business Analyst,Green Tomato Limited,Kwun Tong,Telecommunication,2 years,,,"['The jobholder will perform:', 'Act as business liaison between business users and technical developers', 'Assist user to perform User Acceptable Test', 'Perform business analysis and user requirement studies', 'Prepare data mapping specification for development', 'Prepare test case for System Integration Test', 'Facilitating the negotiation of requirements or communicate with business users/ multiple stakeholders to understand, collect, analyze and articulate the business requirements.', 'Understanding the needs of multiple stakeholders.', 'Project and stakeholder management - Work closely with stakeholders (business, compliance, Ops and technology partners at all levels) to define business objective, document requirements, track risks &amp; issues and manage communications on project updates.']"
1603,27-Oct-21,Senior Business Technology Manager (Corporate Banking / Financial Markets),Bank of China (Hong Kong) Limited,Shatin Area,Financial Services,5 years,,,"['Responsibility:', 'Perform business and user requirement analysis', 'Liaise among users and IT units to ensure business requirements are well defined and properly implemented', 'Formulate test plans, conduct UAT and regression test', 'Provide strong support to business users', 'Manage IT project implementation and monitor the project progress and resolve project problems', 'Manage project budget and procurement process', 'Participate in the risk analysis for new product launch']"
1604,25-Oct-21,Technical Consultant - D365 CE (CRM) / D365 Business Central (NAV),Tectura Hong Kong Ltd,Tsim Sha Tsui,Information Technology,,"['Degree holder in Computer Science or related disciplines', '2-3 years working experience in programming and application design (applicant with less experience will be considered as Associate Consultant)', 'Experience in Microsoft .NET framework native &amp; web programming', 'Ability to conduct business requirement collection, application design and proper documentation', 'Excellent analytical and problem solving skills', 'Independent, motivated and can work under pressure', 'Good command of spoken and written English and Chinese with ability to speak Mandarin.', 'Good communication skills and presentation', 'Work independently with minimal guidance', 'Hands on experience in the Microsoft technologies including Microsoft Dynamics D365 CE (CRM) / D365 Business Central (NAV) is an absolute advantage', 'Candidate with .Net, C#, JavaScript or HTML development experience will also be considered']","['Responsible for the design and deployment of various enterprise scale solutions based on Microsoft Dynamics D365 CE (CRM) / D365 Business Central (NAV)', 'Design and coordinate the integration of our enterprise applications implemented using different technologies and platforms', 'Work as a team member responsible for training clients, testing software modifications, providing support and consultation and implementing solution using Microsoft technologies such as Microsoft Dynamics D365 CE (CRM) / D365 Business Central (NAV)', 'Develop and customize system', 'Test and QA developments', 'Perform first tier troubleshooting and problem resolving', 'Able to isolate IT related problem and escalate to next level support when required', 'Perform other consulting and support related duties as assigned', 'Work very closely with our local and regional team of professional consultants', 'Assist in the preparation of service estimates and project plans', 'Liaise with product vendors on any issues relevant for our customers or Tectura']","['Job Responsibilities:', 'Responsible for the design and deployment of various enterprise scale solutions based on Microsoft Dynamics D365 CE (CRM) / D365 Business Central (NAV)', 'Design and coordinate the integration of our enterprise applications implemented using different technologies and platforms', 'Work as a team member responsible for training clients, testing software modifications, providing support and consultation and implementing solution using Microsoft technologies such as Microsoft Dynamics D365 CE (CRM) / D365 Business Central (NAV)', 'Develop and customize system', 'Test and QA developments', 'Perform first tier troubleshooting and problem resolving', 'Able to isolate IT related problem and escalate to next level support when required', 'Perform other consulting and support related duties as assigned', 'Work very closely with our local and regional team of professional consultants']"
1605,27-Oct-21,Material Planner,Phase Scientific International Limited,Kwun Tong,Medical/Pharmaceutical,3 years,,,"['Overview:', 'Company Description:\xa0Founded by scientists at the University of California, Los Angeles, Phase Scientific International Limited is a fast-growing biotech startup developing cutting-edge technologies that we believe will change the landscape in diagnostics and healthcare management. From our roots in the U.S., we have since grown to include our global headquarters in Hong Kong, with R&amp;D and manufacturing in Orange County, California, U.S.A. The company focuses on developing novel sample preparation tools and diagnostics for cancer liquid biopsy and infectious diseases, including COVID-19.', 'Job Description:', 'Coordinating closely with other departments to accurately forecast the need for materials', 'Reviewing Material Requirements Planning (MRP) report regularly to factory accordingly, ensuring the steady flow of materials necessary and adequate supply without over-ordering or wasting resources', 'Monitoring daily material requests to maintain inventory schedules and keep track of production volume and purchasing expectations', 'Preparing and generating monthly report of inventory status, stock requisition analysis, and forecasting', 'Qualifications:', 'F.7/ DSE graduate or above', 'Have at least 2 year relevant experiences in', 'Material Planning', 'and', 'Inventory Control']"
1606,28-Oct-21,Production Officer / Assistant Production Officer,The Garden Company Limited,Tsuen Wan Area,Manufacturing,1 year,"['•\xa0Higher Diploma or above in Industrial or Manufacturing Engineering, Food Science or related discipline', '• Minimum 1 year relevant working experience, preferably in food and beverage industry', '• Proficient in MS Office applications, including Word, Excel and Chinese Word Processing', '• Good command of written and spoken English and Chinese', '• Self-initiative, strong sense of responsibility, good interpersonal and communication skill', '• Immediately available is highly preferred', 'Working Location: Sham Tseng', 'Interested parties are invited to send application with detailed resume, date available and expected salary to', 'Human Resources Manager, The Garden Company Limited, 58 Castle Peak Road, Shamshuipo, Kowloon or click “Apply Now”', '(Please quote the position applied for in the subject).', 'All applications will be treated in strict confidence and retained for 6 months for recruitment purposes only.']","['• Communicate with front-line operators and monitor their performance', '• Measures the factory capacity and prepare analysis reports', '• Managing the daily operation of production line to ensure it can achieve quality standard', '• Provide administrative and clerical support', '• Perform other ad hoc projects as assigned', 'Requirements:', '•\xa0Higher Diploma or above in Industrial or Manufacturing Engineering, Food Science or related discipline', '• Minimum 1 year relevant working experience, preferably in food and beverage industry', '• Proficient in MS Office applications, including Word, Excel and Chinese Word Processing', '• Good command of written and spoken English and Chinese', '• Self-initiative, strong sense of responsibility, good interpersonal and communication skill', '• Immediately available is highly preferred', 'Working Location: Sham Tseng', 'Interested parties are invited to send application with detailed resume, date available and expected salary to', 'Human Resources Manager, The Garden Company Limited, 58 Castle Peak Road, Shamshuipo, Kowloon or click “Apply Now”', '(Please quote the position applied for in the subject).', 'All applications will be treated in strict confidence and retained for 6 months for recruitment purposes only.']","['Responsibilities:', '• Communicate with front-line operators and monitor their performance', '• Measures the factory capacity and prepare analysis reports', '• Managing the daily operation of production line to ensure it can achieve quality standard', '• Provide administrative and clerical support', '• Perform other ad hoc projects as assigned', 'Requirements:', '•\xa0Higher Diploma or above in Industrial or Manufacturing Engineering, Food Science or related discipline', '• Minimum 1 year relevant working experience, preferably in food and beverage industry', '• Proficient in MS Office applications, including Word, Excel and Chinese Word Processing', '• Good command of written and spoken English and Chinese', '• Self-initiative, strong sense of responsibility, good interpersonal and communication skill', '• Immediately available is highly preferred', 'Working Location: Sham Tseng', 'Interested parties are invited to send application with detailed resume, date available and expected salary to', 'Human Resources Manager, The Garden Company Limited, 58 Castle Peak Road, Shamshuipo, Kowloon or click “Apply Now”', '(Please quote the position applied for in the subject).']"
1607,25-Oct-21,Business Analyst,SK Hong Kong Limited,Tsim Sha Tsui,Information Technology,2 years,,,"['Hong Kong as the Management Office, and you will working with our London and other oversea offices.', 'Job Description', 'o', 'Coordinate internal resources and third parties/vendors for the flawless execution of OVERSEA projects', 'o', 'Ensure that all projects\xa0are delivered\xa0on-time, within scope and within budget', 'o', 'Developing project scopes and objectives, involving all relevant stakeholders and ensuring', 'technical feasibility', 'o', 'Ensure resource availability and allocation', 'o']"
1608,25-Oct-21,Analyst Programmer,Certis Centurion Facility Company Limited,Tsuen Wan Area,Property Management / Consultancy,2 years,,,"['Job Brief', 'We are looking for a .Net developer to build software using languages and technologies of the .NET framework. You will create applications from scratch, configure existing systems and provide user support.', 'In this role, you should be able to write functional code with a sharp eye for spotting defects. You should be a team player and excellent communicator. If you are also passionate about the .NET framework and software design/architecture, we’d like to meet you.', 'Your goal will be to work with internal teams to design, develop and maintain software.', 'Responsibilities', 'Participate in requirements analysis', 'Collaborate with internal teams to produce software design and architecture', 'Write clean, scalable code using .NET programming languages', 'Test and deploy applications and systems', 'Revise, update, refactor and debug code']"
1609,22-Oct-21,IT Specialist,"E.SUN Commercial Bank, Ltd.",Tsim Sha Tsui,Banking,,,,"['Job Duties:', 'Works with Business Analyst Team to perform analysis, design and user requirement studies for internal banking systems.', 'Recommend solutions to business needs and applications troubleshooting.', 'Act as the key interface between business users and technical developers with Taiwan head office.', 'Investigate and resolve issues in a timely manner or escalates unresolved problems to appropriate team.', 'Assist in system testing, User Acceptance Test and 3rd Parties coordination system.', 'Requirement:', 'Strong database knowledge including proficiency in SQL and superior knowledge of Excel.', 'Creating data visualizations that help business team to gain understanding on business result (proficiency in Tableau and familiar with Python is a plus).']"
1610,11-Oct-21,Senior Data Science Manager,AXA Hong Kong,,Insurance/Pension Funding,,"['Graduate or advanced degree qualifications in quantitative related subjects (e.g. Statistics, Maths, Engineering, Actuarial, etc). PhD or MBA would be an added advantage', '3+ years of relevant working experience in data analytics field as statistician / analyst / data scientist', 'Good knowledge of predictive modeling, big data analysis, and data science projects: machine learning, statistical modeling, and data mining techniques &amp; algorithms ( e.g. Random forest, Gradient boosting tree, Neural network, NLP etc.)', 'Must have high proficiency in scripting/programming language like Python, R, SAS, SQL', 'Have experience with Cloud solution such as Azure, AWS and Big data architecture such as Hadoop, Hue, Spark, HIVE', 'Previous exposure to / knowledge of the insurance industry will be an asset', 'Proactive and with a can-do attitude, people management experince would be a plus', 'Good command of English, Cantonese / Mandarin']",,"['Big Data Modeling / Machine Learning', 'Support the development of different data science initiatives including predictive models and statistically rigorous advanced model scripts to support data science &amp; analytics initiatives on AI, machine learning/ deep learning (NLP)', 'Perform advanced analysis using statistical techniques &amp; algorithms to facilitating effective targeting, segmentation, and identification of opportunities around cross-sell / up-sell, retention and marketing program optimization', 'Work on Data Science projects with different stakeholders to expand data science discipline into business application spectrum', 'Ability to perform the big data analytics processes on massive data sets from different data sources: explanatory and targeted data analyses, generate and test working hypotheses, analyze historical data and identify features &amp; signals', 'Captures, tracks and dynamically diagnose models-in-use for effectiveness (e.g. LightGBM, XGBoost, RNN etc.)', 'Work with business partners and external vendors/partners on acquiring and compiling new external data sources for the enrichment of big data analytics database', 'Data Visualization', 'Manage BI solution development and implementation for various MI reporting (Power BI)', 'Deliver insights from the data visualization process from a customer-centric approach', 'Deploy analytics capabilities ranging from organization BI to advanced models to improve ongoing insight generation process and the application of such in a business-relevant way', 'Project Management', 'Adhoc strategy projects covering DataMart &amp; API on Cloud (Azure), customer segmentation, customer campaigns targeting etc.', 'Requirements:']"
