,date of post,job title,company name,location,industry,years of experience,requirement,responsibility,job description
413,01-Nov-21,"Senior Business Analyst (BI, Project Management, up to $40K)",CL Technical Services Ltd.,Southern Area,Information Technology,,,,"['Job', 'details', ':', 'Work closely with business clients to collect user requirements and determine system functional specifications to meet organizational objectives', 'Foster collaboration, establish strong working relationships with different business partners', 'Involve in a large-scale BI project under IT project team and perform data analyses, extraction and generate reports using different data visualization, reporting and analytical tools', 'Support projects through different project stages, including development, quality assurance, user acceptance testing and production implementation', 'Design and develop analytics tools and platforms to analyze data such as data collection, cleansing and curation of data from various sources', 'Develop and implement data collection system and other strategies to ensure high quality of outcomes', 'Requirements']"
414,25-Oct-21,Senior Data Analysts / Data Analysts / Trainee Analysts,Seamatch Asia Limited,,Human Resources Management/Consultancy,,"['Degree holder in IT and data sciences related subjects', 'Over or around 3 years of technical experience in data engineering, data warehousing, data analytics or related functional areas', 'Junior candidates with good sense of SQL logic and data flow are welcome', 'Good knowledge of SQL programming, MS SQL\xa0databases and analytic tools such as Microsoft Power BI, Excel Power Query, Google\xa0Analytics, etc.', 'Familiar with using Informatica or\xa0SSIS tools for data integration an advantage', 'Fluent Chinese and English communication with local team members', '** Less experienced candidates but with good sense of SQL logic and data flow are welcome']","[""Agile team collaboration in continual development of Company's Azure Cloud data analytics platform, data flow and"", 'data pipelines', 'Data mining, data discovery and metadata management for business intelligence (BI), quantitative modeling, machine learning and predictive analytics projects', 'Data warehousing and data extract/transform/load (ETL) integration in cloud and on-premise environments', 'Data visualization, BI reporting, data dashboard design &amp; development', 'Requirements:', 'Degree holder in IT and data sciences related subjects', 'Over or around 3 years of technical experience in data engineering, data warehousing, data analytics or related functional areas', 'Junior candidates with good sense of SQL logic and data flow are welcome', 'Good knowledge of SQL programming, MS SQL\xa0databases and analytic tools such as Microsoft Power BI, Excel Power Query, Google\xa0Analytics, etc.', 'Familiar with using Informatica or\xa0SSIS tools for data integration an advantage']","['Our client is one of the largest online shopping ecommerce platforms in Hong Kong. They are looking for new team members to join their data science teams.', 'Senior Data Analysts / Data Analysts / Trainee Analysts', '20K (entry levels) to around 60K (senior levels)', 'Responsibilities:', ""Agile team collaboration in continual development of Company's Azure Cloud data analytics platform, data flow and"", 'data pipelines', 'Data mining, data discovery and metadata management for business intelligence (BI), quantitative modeling, machine learning and predictive analytics projects', 'Data warehousing and data extract/transform/load (ETL) integration in cloud and on-premise environments', 'Data visualization, BI reporting, data dashboard design &amp; development', 'Requirements:']"
415,"{date}"",""",Senior Business Process Analyst (CRM),SEEK Asia (JobsDB),Quarry Bay,Media/Publishing/Printing,,,,"['The Role', 'One of the significant transformation initiatives that SEEK Asia is undertaking is the CRM Transformation program.\xa0 The CRM project is focused on enhancing and replacing SEEK Asia’s current Customer Relationship Management system. A key objective of the CRM project is to have all client data integrated and available through one central platform, so SEEK Asia can become more efficient in how it manages multi-functional relationships with its customers, and more sophisticated and targeted in how it engages and delivers insights. This is a large-scale transformation, which has change implications across the entire business.', 'This person will be assisting CRM Transformation Lead and functional domain owners (Sales, Service, Marketing and Finance) to examine legacy business processes, identify gaps / areas of improvements, redesign and relaunch a more effective and standardize business processes within SEEK.', 'This person should also be supporting domain expert leads, working with key stakeholders and users in gathering and documenting business requirements for CRM implementation.', 'Any prior experience with Salesforce, SAP or similar CRM systems in a complex enterprise environment will be added advantage.', 'Key Responsibilities', 'This person will be assisting CRM Transformation Lead and functional domain owners (Sales, Service, Marketing and Finance) to examine and analyse existing operating model, legacy business processes and systems, identify gaps / areas of improvements, redesign and relaunch a more effective and standardize business processes within SEEK that align to the SEEK unification program.', 'This person should also be supporting domain expert leads, working with key stakeholders and users in gathering and documenting business requirements for CRM implementation.', ""Identify inefficiencies in a business's operations, then alter/automate existing process or establish new ones to limit or eliminate the identified issues."", 'Facilitate process workshops, mapping process to business requirements. Document the procedures and presenting new process designs to stakeholders for discussion.']"
416,01-Nov-21,Solution Architect (55k-70k ; Video Analytics),GrammyTech Ltd,Quarry Bay,Human Resources Management/Consultancy,,,,"['Our client , an international IT company is looking for Solution Architect\xa0– with focus on\xa0 Video Analytics to join their dynamic team', 'Job Duties :', 'Discover and build practice with new technology and partners from the market, with special focus on: Video Analytics /\xa0A.I. /Data Analytics / IoT / Cloud / Blockchain', 'Develop end-to-end business solutions for clients', 'Support other internal competency centres and practices', 'Support Sales/Account Managers on customer presentations', 'Architect solutions, and able to take up as subject matter expertise on delivery', 'Build up and maintain customer relationships, as the trusted technology advisor', 'The role requires deep system integration knowledge to be able to bring together cross-functional teams', 'Job Requirement']"
417,01-Nov-21,Data Team Intern (Part Time/Full Time),Ztore HK Limited,Lai Chi Kok,Others,,,,"['We are looking for a data enthusiast to join our data team internship programme.', 'You will take part in Ztore’s data journey specific in Business Intelligence, from automating standard reporting, creating reliable data sources to promoting the use of data as an integral part of company’s everyday decision making process. You will also have the rare opportunity in getting hands on experience working with real life data sets, tackling and deriving insights for real business problems.', 'Example tasks', 'Performing and implementing business performance reporting, ad hoc customer data analyses, dashboard building and visualization', 'Handling data requests from internal departments', 'Building new data sources for different teams', 'Educating and helping users in understanding and using data', 'Requirements', 'Current university student', 'Good with numbers plus strong business sense']"
418,26-Oct-21,"Data Governance Lead - Financial Services, Management Consulting",KPMG,Aberdeen,Accounting/Audit/Tax Services,8 years,,,"['Overview', 'We improve the effectiveness and efficiency of our clients’ back office and help them transform from cost centre to business partner.\xa0 You will find yourself advising CXO and senior executives on how to become a data-driven organisation and digitise the operations. This includes leading project teams on data strategy, data platform design, data platform implementation, finance and digital transformation engagements.', 'We are looking for a Data Governance Lead (Associate Director)who can work with our client’s Data teams to define and establish a world-leading Data Governance capability through the definition and delivery of data governance standards and data management controls.', 'Candidates with the following knowledge and experience in the are strongly encouraged to apply:', 'Banking and/or life insurance industry experience is essential', 'Experience in leading data governance projects', 'Data governance hands-on implementation experience', 'Understanding of core banking &amp; insurance systems and use of ERP in financial services', 'Knowledge of key regulatory change initiatives (IFRS17, Basel III Reforms, RBC)', 'Confident to communicate with CXO', 'Responsibilities', 'Lead data governance projects and guide and develop junior staff to drive client-ready deliverables', 'Conduct stakeholder workshops with senior stakeholders to frame, scope and drive data governance programs', 'Strategically create, refine and enhance the enterprise data strategy and roadmap', 'Develop data governance organization policies, procedures and structures', 'Provide technical expertise and guide data engineers on the implementation of data governance policies with market-leading platforms, including but not limited to, Informatica, Collibra, Apache tools']"
419,20-Oct-21,Data Scientist,High Fashion Group,Kwai Fong,Clothing/Garment/Textile,5 years,"['5+ years of work experience with big datasets and data projects', 'Proficient in Python/ R, SQL, PowerBI', 'Good understanding or experience in cloud platform (AWS/ Azure/ Google Cloud)', 'Proactive and research mindset, with ability to adapt and multi-task', ""Bachelor's / Master's Degree with major in Mathematics, Statistics or related discipline"", 'Experience working with big datasets and on large scale analytical projects', 'Knowledge on various machine learning techniques including clustering, decision trees, neural networks and their real-world advantages/drawbacks', 'Experience with data visualization tools/packs, such as Power BI, Tableau etc.', 'Interested candidates, please click Apply Now.']",,"['Responsibilities :', 'Perform statistical analysis on multiple data sets to build scalable enterprise analytics solutions', 'Select features, build and optimize classifiers using various machine learning techniques for Computer Vision and Trend Forecasting purposes', 'Applies advanced statistical and predictive modeling techniques to build, maintain, and improve on multiple decision systems', 'Analyze big data in product design, pricing strategies, sales opportunities, etc.,', 'Requirements:', '5+ years of work experience with big datasets and data projects', 'Proficient in Python/ R, SQL, PowerBI', 'Good understanding or experience in cloud platform (AWS/ Azure/ Google Cloud)', 'Proactive and research mindset, with ability to adapt and multi-task', ""Bachelor's / Master's Degree with major in Mathematics, Statistics or related discipline"", 'Experience working with big datasets and on large scale analytical projects']"
420,22-Oct-21,ASSISTANT MANAGER – DATA ANALYTICS,Sun Hung Kai Properties Ltd,Wan Chai,Property Development,7 years,"['Bachelor’s degree in Computer Science, Statistics or Information Management or related discipline', 'Minimum 7 years’ experience in data analytics, managing data warehouse, business intelligence of mobile app loyalty program, preferably with retail market exposure', 'Hands-on experience in ETL process, database management, data analysis with data visualization tools and Google Analytics', 'Proficiency in SQL programming (e.g. MySQL, MSSQL, etc) and Tableau is a must', 'Strong business acumen, analytical skills and numerical sense, able to work independently', 'Well-organized, self-motivated and a good team player', 'Effective communication skills, both in oral presentation and report writing', 'Proven English proficiency', 'Responsibilities:', 'Manage data warehouse, consolidate and integrate data from diversified data source including MySQL Database, Google Analytics, etc']","['Manage data warehouse, consolidate and integrate data from diversified data source including MySQL Database, Google Analytics, etc', 'Analyze consumer data of customer loyalty programs and identify insights for management on business development opportunities', 'Develop and built segmentation platform for performing the evaluation of segmentation used in different channels', 'Organize and prepare regular business analysis reports', 'Communicate and coordinate with internal and external parties to refine data management and analytics procedures, workflows and other best practices', 'Develop Business Intelligence tools / Dashboards to facilitate efficient cross-platform data analysis', 'Maintain data integrity and conduct periodic quality assurance tracking of the Company’s customer loyalty program’s databases', '(Candidates with more experience will be considered for Manager – Data Analytics.)', 'Good remuneration and attractive fringe benefits will be offered to the successful applicant. Interested parties please apply with full resume, present and expected salary, available date by clicking “Apply Now”.', 'For further information, please visit our company website:', 'http://www.shkp.com/', '.']","['Requirements:', 'Bachelor’s degree in Computer Science, Statistics or Information Management or related discipline', 'Minimum 7 years’ experience in data analytics, managing data warehouse, business intelligence of mobile app loyalty program, preferably with retail market exposure', 'Hands-on experience in ETL process, database management, data analysis with data visualization tools and Google Analytics', 'Proficiency in SQL programming (e.g. MySQL, MSSQL, etc) and Tableau is a must', 'Strong business acumen, analytical skills and numerical sense, able to work independently', 'Well-organized, self-motivated and a good team player', 'Effective communication skills, both in oral presentation and report writing', 'Proven English proficiency', 'Responsibilities:']"
421,02-Nov-21,Business Analyst – Business Development,Yata Limited,Shatin Area,Wholesale / Retail,2 years,,,"['To support the rapid development of the company, the', 'Business Analyst – Business Development', 'will work closely with senior management and cross departments to formulate, drive and execute on strategically important projects.', 'Ideal candidate will enjoy working on a variety of topics and are comfortable with ambiguity. Self-motivated, positive, with solutions and impact-oriented attitude and strong drive for excellence.', 'Roles and responsibilities', 'Perform market and business analysis, build financial models for business growth initiatives, e.g. new store projects/ new business model/opportunities', 'Work closely with other departments and management team to formulate strategy, make actionable recommendations and follow through to implementation of these initiatives', 'Responsible for market intelligence and competitors tracking by conducting research, in-depth quantitative and qualitative analyses. Lead on-the-ground researches on an as-need basis including surveys/ focus groups', 'Monitor key trends and developments of the Global and Hong Kong retail market', 'Requirements']"
422,19-Oct-21,Data Analyst (5 Day Work),Advanced Sleep Innovations (Hong Kong) Company Limited,Tsuen Wan Area,Wholesale / Retail,,,,"['Job Duties:', 'Interpret data, analyze results using statistical techniques to provide campaign evaluation and optimize effectiveness of marketing campaigns.', 'Identifying significant business insights and customer behavioral patterns by performing machine learning / analytic to optimize customer communications experience.', 'Collect, understand &amp; convert product inspection results into technical specifications, and coordinate with production team to improve product performance.', 'Requirement:', 'University graduate in Statistics, Data Science, Computer Science/Information System &amp; Mathematics or relevant discipline', 'Strong technical experience including proficiency in SAS (including EM/EG/VIYA) &amp; SQL and superior knowledge of Excel.', '2 years of analytical experience with high data volume environments, preferably in software, internet, media or retail areas is an advantage.', 'Self-motivated and able to accomplish multiple tasks', 'Strong problem-solving skills and able to work under tight timeline.']"
423,03-Nov-21,Quant Trader (Cryptocurrency),Bole Capital Group Limited,Hung Hom,Financial Services,3 years,,,"['We are fast growing start up business with the focus in Crypto &amp; Blockchain Market.', 'We are looking for Blockchain/Crypto Talents to join us.', 'If you are aiming to have a fast track development in Fintech startup\xa0&amp; Blockchain industry, please check our job post in detail and talk to us!', 'Job Description', '1.\xa0Conduct research in pricing/execution to generate trading ideas/develop trading strategies', '2. Simulate models, understanding signal strength and risk metrics', '3. Develop back test engine, trading API, auto execution program for Cryptocurrency trading', '4.\xa0Monitoring and develop key KPIs to focus our post trade analysis and algorithm performance', 'Requirements', '1. University graduate with degree in Computer Science, Mathematics, Statistics, Quantitative Finace and other related disciplines', '2.\xa03+ years trading strategy experience (Equity/Future/FX/Crypto Fund)', '3.\xa0Confidence in end-to-end ability to own a strategy']"
424,04-Nov-21,"Junior Business Analyst (Transfer Agency Change, Bank)",Zebra Strategic Outsource Solution Ltd,Kwun Tong Area,Human Resources Management/Consultancy,1 year,,,"['Responsibilities', 'Requirements gathering/gap analysis (including facilitation of workshops) and documentation of business requirements (BRD’s/Impact Assessments for enhancement requirements) for the system including reporting', 'Document Operational Models &amp; mapping out of new target operating models, balancing client’s needs with regulatory requirements &amp; bank’s multi-location operational model.', 'Alignment with bank’s standard TA product catalogue &amp; ensuring ongoing updates are documented &amp; submitted where required', 'Manage the planning, preparation and delivery of the testing phases (including functional, regression and Ops model testing) for the system and processes, including developing, executing and documentation of test plans, test cases and results', 'Manage the co-ordination, support and execution of User Acceptance Testing, Model Office &amp; Parallel runs (pre implementation)', 'Working with multiple operational areas in regard to each phase of the project to ensure input, engagement, and that operational requirements are reflected in the project deliverable', 'Working with Operational Readiness in preparation for go-live. Provide input to management at TA platform level re co-ordination of environments, package releases, testing', 'Supporting the operating model design, systems migration process and process re-engineering', 'Assess, understand and manage interdependencies with other work streams']"
425,01-Nov-21,Data Team Intern (Part Time/Full Time),Ztore HK Limited,Lai Chi Kok,Others,,,,"['We are looking for a data enthusiast to join our data team internship programme.', 'You will take part in Ztore’s data journey specific in Business Intelligence, from automating standard reporting, creating reliable data sources to promoting the use of data as an integral part of company’s everyday decision making process. You will also have the rare opportunity in getting hands on experience working with real life data sets, tackling and deriving insights for real business problems.', 'Example tasks', 'Performing and implementing business performance reporting, ad hoc customer data analyses, dashboard building and visualization', 'Handling data requests from internal departments', 'Building new data sources for different teams', 'Educating and helping users in understanding and using data', 'Requirements', 'Current university student', 'Good with numbers plus strong business sense']"
426,01-Nov-21,"Business Analytics Manager, Business Banking",Bank of China (Hong Kong) Limited,,Financial Services,3 years,"['Degree or above in Business Administration, Statistics, Computer Science or related disciplines', 'At least 3 year experience in data-driven industries/ roles with proven experience and track record in business &amp; portfolio management, data analysis, research', 'Ability to transform big data into actionable insights', 'Work in agile with Scrum master was preferable', 'Proactive, innovative with strong problem-solving capacity and strategic thinking', 'Strong influential skills to promote collaboration and engagement with key stakeholders', 'Hands on experience in Python / SAS / SQL / Excel VBA', 'Hands on experience in visualization tool, e.g. Tableau']","['Strong business acumen preferably with business banking experience', 'Prepare and monitor annual P&amp;L, budgeting and Business Plan', 'Monitor business performance, financial KPIs and segment movement on customer and channel level', 'Drive business insights with market research, competitor benchmarking &amp; ongoing customer portfolio study', 'Conduct customer analysis, enhance understanding of customer portfolio, monitor changes in customer behaviors and identify opportunity for cross-selling and services enhancement', 'Establish a single of customer lead generation and identify opportunities to improve lead quality', 'Initiate, develop and implement data applications such as online browsing behavior, 3rd party data collaboration, triggering event to channels/ customers', 'Conduct management updates with regular &amp; ad-hoc financial and business analysis in report, spreadsheet and presentation format', 'Work closely with Business Finance, Customer Intelligence, IT etc to drive the smoothen implementation of all data initiatives', 'Job Requirements:', 'Degree or above in Business Administration, Statistics, Computer Science or related disciplines']","['Job Responsibilities:', 'Strong business acumen preferably with business banking experience', 'Prepare and monitor annual P&amp;L, budgeting and Business Plan', 'Monitor business performance, financial KPIs and segment movement on customer and channel level', 'Drive business insights with market research, competitor benchmarking &amp; ongoing customer portfolio study', 'Conduct customer analysis, enhance understanding of customer portfolio, monitor changes in customer behaviors and identify opportunity for cross-selling and services enhancement', 'Establish a single of customer lead generation and identify opportunities to improve lead quality', 'Initiate, develop and implement data applications such as online browsing behavior, 3rd party data collaboration, triggering event to channels/ customers', 'Conduct management updates with regular &amp; ad-hoc financial and business analysis in report, spreadsheet and presentation format', 'Work closely with Business Finance, Customer Intelligence, IT etc to drive the smoothen implementation of all data initiatives']"
427,"{date}"",""",Actuarial Assistant / Analyst (Life Reinsurance Team),AXA Hong Kong,Southern Area,Insurance/Pension Funding,,"['University graduate in Actuarial Science, Mathematics or Statistics, preferably with all SOA technical papers passed or equivalent', 'Preferably 1 year working experience in insurance/reinsurance field. Fresh graduate is welcomed', 'Strong analytical and problem solving skills', 'Detail minded, self-motivated, able to work under pressure', 'Good command of both written and spoken English', 'Excellent knowledge of spreadsheets, database, other PC languages and modeling skills']","['Generate Life Reinsurance reports for the Executive Committee, external audits and local regulators', 'Analyse the effectiveness of new and existing Life Reinsurance arrangement to provide accurate results and meaningful conclusions', 'Prepares and validates renewal data information provided to reinsurers', 'Investigate and explain trends, errors or inconsistencies that have been spotted', 'Outward Life Reinsurance administration', 'Maintain the valuation policy database and perform regular data quality controls according to the AXA Data Quality (DQ) framework', 'Report control results to Risk Management through DQ dashboard in a timely manner', 'Maintaining proper audit trail of control evidence and performing data quality remediation actions when necessary', 'Job Requirements:', 'University graduate in Actuarial Science, Mathematics or Statistics, preferably with all SOA technical papers passed or equivalent', 'Preferably 1 year working experience in insurance/reinsurance field. Fresh graduate is welcomed', 'Strong analytical and problem solving skills', 'Detail minded, self-motivated, able to work under pressure', 'Good command of both written and spoken English', 'Excellent knowledge of spreadsheets, database, other PC languages and modeling skills']","['Job Responsibilities:', 'Generate Life Reinsurance reports for the Executive Committee, external audits and local regulators', 'Analyse the effectiveness of new and existing Life Reinsurance arrangement to provide accurate results and meaningful conclusions', 'Prepares and validates renewal data information provided to reinsurers', 'Investigate and explain trends, errors or inconsistencies that have been spotted', 'Outward Life Reinsurance administration', 'Maintain the valuation policy database and perform regular data quality controls according to the AXA Data Quality (DQ) framework', 'Report control results to Risk Management through DQ dashboard in a timely manner', 'Maintaining proper audit trail of control evidence and performing data quality remediation actions when necessary', 'Job Requirements:', 'University graduate in Actuarial Science, Mathematics or Statistics, preferably with all SOA technical papers passed or equivalent', 'Preferably 1 year working experience in insurance/reinsurance field. Fresh graduate is welcomed', 'Strong analytical and problem solving skills', 'Detail minded, self-motivated, able to work under pressure', 'Good command of both written and spoken English', 'Excellent knowledge of spreadsheets, database, other PC languages and modeling skills']"
428,"{date}"",""",Senior System Analyst / System Analyst  - Based in Shenzhen,Company Confidential,Others - China,Trading and Distribution,5 years,"['Degree holder in Computer Science, Information Technology, System Engineering or related disciplines.', 'Five years or above experience in design, development, testing, and deployment of RICEW (Forms, Reports, Interfaces, Customizations, Extensions, and Workflows) in Oracle EBS R12 focusing on multiple modules such as Finance, BOM, Advanced Supply Chain Planning, Procurement Planning, INV, WIP, PO, QA.', 'Proven track record in hands on end-to-end scoping, feasibility study, business analysis, QA &amp; testing under multinational and matrix organizational environment.', 'Able to produce detailed but concise and precise system requirements specifications, data, and test plans, using standardized documentation methods.', 'Hands-on experience in Oracle Linux, Oracle Forms/Reports, XML BI Publisher, OAF, Workflow, Oracle PL/SQL, Java/JSP/Servlet, Microsoft SQL and Excel VBA Scripting for troubleshooting/debugging, data extracts and software development.', 'Knowledge in other programming language such as C#, Progress 4GL, Visual Basic 6 would be an advantage.', 'Work Experience in Electronics Manufacturing Industry would be an advantage.', 'Good communication, presentation and influencing skills.', 'Fluent in written and spoken Mandarin.', 'Fluent in written English.']","['Effectively leads communications with end-users, external consultants for systems analysis and solution definition, and translate resolutions into clearly defined User Requirements &amp; Functional Design Document for user confirmation and developers to follow-up.', 'Work with users and manage development team to ensure application needs are well-addressed with efficiency, documented, and validate technical solutions and/or processes fulfilling such needs.', 'Work closely with users, vendors and IT team to drive user testing exercises including UAT preparation e.g. Test cases and Test Plans', 'Support Requirement Traceability to address issues, risks, dependencies and changes requests etc. so that all of the requirements have been adequately considered', 'during each phase of the project.', 'Compile training materials and conduct training sessions to users to ensure key application knowledge are well understood and leveraged amongst the organization.', 'Manage end-to-end delivery of projects/change initiatives in accordance with the Project Governance, Methodologies and Framework', 'Compile system documentation such as user manuals and system design and program specifications.', 'Requirements:', 'Degree holder in Computer Science, Information Technology, System Engineering or related disciplines.']","['Role Summary:', 'Responsible for supporting transition from MFGPro to Oracle EBS in our manufacturing plants and Head Office and Warehouses in Hong Kong focusing on Oracle EBS and Agile PLM implementation, software development and integration with external. Activities for this role include working closely with users and consultants to understand and document issues and requirements; propose solutions; work out functional designs; manage SDLC and support full lifecycle of EBS implementation.', 'Job Responsibilities:', 'Effectively leads communications with end-users, external consultants for systems analysis and solution definition, and translate resolutions into clearly defined User Requirements &amp; Functional Design Document for user confirmation and developers to follow-up.', 'Work with users and manage development team to ensure application needs are well-addressed with efficiency, documented, and validate technical solutions and/or processes fulfilling such needs.', 'Work closely with users, vendors and IT team to drive user testing exercises including UAT preparation e.g. Test cases and Test Plans', 'Support Requirement Traceability to address issues, risks, dependencies and changes requests etc. so that all of the requirements have been adequately considered', 'during each phase of the project.', 'Compile training materials and conduct training sessions to users to ensure key application knowledge are well understood and leveraged amongst the organization.', 'Manage end-to-end delivery of projects/change initiatives in accordance with the Project Governance, Methodologies and Framework']"
429,20-Oct-21,Data Scientist,High Fashion Group,Kwai Fong,Clothing/Garment/Textile,5 years,"['5+ years of work experience with big datasets and data projects', 'Proficient in Python/ R, SQL, PowerBI', 'Good understanding or experience in cloud platform (AWS/ Azure/ Google Cloud)', 'Proactive and research mindset, with ability to adapt and multi-task', ""Bachelor's / Master's Degree with major in Mathematics, Statistics or related discipline"", 'Experience working with big datasets and on large scale analytical projects', 'Knowledge on various machine learning techniques including clustering, decision trees, neural networks and their real-world advantages/drawbacks', 'Experience with data visualization tools/packs, such as Power BI, Tableau etc.', 'Interested candidates, please click Apply Now.']",,"['Responsibilities :', 'Perform statistical analysis on multiple data sets to build scalable enterprise analytics solutions', 'Select features, build and optimize classifiers using various machine learning techniques for Computer Vision and Trend Forecasting purposes', 'Applies advanced statistical and predictive modeling techniques to build, maintain, and improve on multiple decision systems', 'Analyze big data in product design, pricing strategies, sales opportunities, etc.,', 'Requirements:', '5+ years of work experience with big datasets and data projects', 'Proficient in Python/ R, SQL, PowerBI', 'Good understanding or experience in cloud platform (AWS/ Azure/ Google Cloud)', 'Proactive and research mindset, with ability to adapt and multi-task', ""Bachelor's / Master's Degree with major in Mathematics, Statistics or related discipline"", 'Experience working with big datasets and on large scale analytical projects']"
430,02-Nov-21,Assistant BA / Quality Assurance - Digital Banking ~28K,Robert Walters (HK),,Human Resources Management/Consultancy,1 year,,,"['A regional financial institution is now hiring a Assistant BA / Quality Assurance officer for their technology team. Successful incumbent should possess testing experience. This will be an ideal opportunity for candidates to step in the financial services industry.', 'Responsibilities', '* Gather User Requirement from business, set up test bed', '* Participate UAT and regression test', '* Prepare training materials, provide user training and implementation support', '* Report defect to business side for system enhancement', 'Requirements', '* High Diploma and / or Degree holder in relevant field', '* Experience on UAT testing or system roll out ,able to gather reqruiement', '* Able to work independently and able to multitask and balance work in multiple areas simultaneously', '* strong communication skills in both English and Cantonese', '* Experience in digital banking / core banking / bancassurance / wealth management / insurance will be a plus']"
431,"{date}"",""",Consulting - Technology Risk - Project Risk - Senior Associate - Hong Kong,EY,,Accounting/Audit/Tax Services,2 years,,,"['The Opportunity', 'Your key responsibilities:', 'Provide consultancy services of analysis, benchmarking, workflow streamlining, transformation in various industries for different corporate clients:', 'Work with high-growth clients and other market leaders in industries such as retail, consumer products, media &amp; entertainment, property development and management, education and health sciences']"
432,03-Nov-21,System Analyst (Mobile App),Leadership Solutions Limited,,Human Resources Management/Consultancy,,"[""Bachelor's degree in Computer Science or related field;"", 'Strong knowledge of Web &amp; Mobile development frameworks;', 'Experience in mobile app and web applications development', 'Strong knowledge on Java/Java EE application development;', 'Demonstrable portfolio of released applications on the App store or the Android market;', 'Experience with third-party libraries and APIs;', 'Good command of English, Cantonese and Mandarin', 'Interested candidate(s) please send in your full resume, stating current and expected salary, and availability in', 'Word Document', 'format to us.', 'It is the corporate policy of Leadership Solutions Limited to achieve full compliance with the obligations and requirements of the Personal Data (Privacy) Ordinance. The privacy policy and personal information collection statement can be found in our website. All information received will be kept in strict confidence and only for employment-related purposes.']",,"['Our client is a', 'reputable financial corporation. To cope with the business development, th', 'ey are inviting', 'experienced', 'professionals to join the', 'team.', 'Responsibilities', 'Develop APIs to support mobile/web functionality;', 'Contribute in all phases of the development life cycle;', 'Identify and plan for new features;', 'Remain up to date with the terminology, concepts and best practices for coding;']"
433,20-Oct-21,Data Analyst,Cornerstone Global Partners,Central & Western Area,Human Resources Management/Consultancy,,,,"['A top tier Virtual Bank is hiring a Data Analyst in Hong Kong', 'Key responsibilities', 'Generate deep dive analysis on deposit, loans and payment products to support channel marketing, quality customer acquisition, customer engagement and health business growth.', 'Identify and develop exploratory metrics to try to find unknow insights and opportunities. Use leading metrics to predict product and business performance, and recommend tactics of business drivers', 'Perform Segmentation analysis (Cross sectional comparison of all people divided by some attribute) and Cohort analysis\xa0–\xa0to compare similar groups of customers over periods of time', 'Support\xa0A/B testing\xa0–\xa0compare similar groups over time, changing one thing and measure results ( focus on the critical steps and assumptions)', 'Watch out reporting metrics to keep business owners abreast of normal, managerial, day-to-day operations', 'Develop insights for business units, including management dashboards, regular reports, and ad-hoc analysis.', 'Understand and execute the systems and data points applicable to marketing and product, and to advise on areas for opportunity and collaboration in ingesting and tracking data.', 'Retrieve and collect unstructured and structured data sources to build up the ‘customer 360 view’ perform data processing, cleansing and verification.', 'Requirements', 'Minimum 4 years in an analytics role in digital, product or marketing', 'Degree holder in Data Science, Information Technology, Statistics or other related disciplines', 'Familiar with big data platform including Data Lake, Hadoop, Spark, etc., have experiences of data development', 'Excellent skills on SQL and Tableau, with understanding of database structure, model design and segmentation techniques', 'Proficiency in Python and its application in data analysis', 'Being familiar with CRM and digital analytics tools (e.g. google analytics) would be an advantage']"
